title,year,platform,generation,type,metacritic_score
Pokemon Ruby / Sapphire,2002,Game Boy Advance,3,Mainline,82
Pokemon FireRed / LeafGreen,2004,Game Boy Advance,3,Mainline,81
Pokemon Emerald,2004,Game Boy Advance,3,Mainline,76
Pokemon Diamond / Pearl,2006,Nintendo DS,4,Mainline,85
Pokemon Platinum,2008,Nintendo DS,4,Mainline,83
Pokemon HeartGold / SoulSilver,2009,Nintendo DS,4,Mainline,87
Pokemon Black / White,2010,Nintendo DS,5,Mainline,87
Pokemon Black 2 / White 2,2012,Nintendo DS,5,Mainline,80
Pokemon X,2013,Nintendo 3DS,6,Mainline,87
Pokemon Y,2013,Nintendo 3DS,6,Mainline,88
Pokemon Omega Ruby,2014,Nintendo 3DS,6,Mainline,83
Pokemon Alpha Sapphire,2014,Nintendo 3DS,6,Mainline,82
Pokemon Sun,2016,Nintendo 3DS,7,Mainline,87
Pokemon Moon,2016,Nintendo 3DS,7,Mainline,87
Pokemon Ultra Sun,2017,Nintendo 3DS,7,Mainline,84
Pokemon Ultra Moon,2017,Nintendo 3DS,7,Mainline,84
Pokemon: Let's Go Pikachu!,2018,Nintendo Switch,8,Mainline,79
Pokemon: Let's Go Eevee!,2018,Nintendo Switch,8,Mainline,80
Pokemon Sword,2019,Nintendo Switch,8,Mainline,80
Pokemon Shield,2019,Nintendo Switch,8,Mainline,80
Pokemon Brilliant Diamond,2021,Nintendo Switch,4,Mainline,73
Pokemon Shining Pearl,2021,Nintendo Switch,4,Mainline,73
Pokemon Legends: Arceus,2022,Nintendo Switch,8,Mainline,83
Pokemon Scarlet,2022,Nintendo Switch,9,Mainline,72
Pokemon Violet,2022,Nintendo Switch,9,Mainline,71
Pokemon Legends: Z-A,2025,Nintendo Switch,9,Mainline,82
